date,f_cap,f_aut,f_pri,f_siz
2023/7/31,46,37,32,49
2023/8/1,40,60,48,48
2023/8/2,36,59,33,30
2023/8/3,30,36,38,44
2023/8/4,34,38,37,39
2023/8/5,45,48,53,40
2023/8/6,42,62,47,58
2023/8/7,25,44,35,44
2023/8/8,36,44,38,48
2023/8/9,32,33,27,37
2023/8/10,35,68,48,41
2023/8/11,66,48,52,62
2023/8/12,46,51,34,47
2023/8/13,42,52,50,36
2023/8/14,42,45,30,36
2023/8/15,47,0,42,44
2023/8/16,40,28,54,44
2023/8/17,33,31,47,50
2023/8/18,36,38,44,45
2023/8/19,54,51,60,68
2023/8/20,60,66,74,65
2023/8/21,30,44,49,49
2023/8/22,51,40,38,38
2023/8/23,38,47,38,40
2023/8/24,43,36,53,44
2023/8/25,36,50,46,41
2023/8/26,45,61,56,45
2023/8/27,72,41,59,62
2023/8/28,51,41,43,50
2023/8/29,48,60,52,38
2023/8/30,45,50,52,47
2023/8/31,48,52,44,38
2023/9/1,54,55,60,38
2023/9/2,63,53,66,54
2023/9/3,60,65,99,65
2023/9/4,54,55,71,55
2023/9/5,53,44,64,35
2023/9/6,51,51,70,47
2023/9/7,43,42,39,49
2023/9/8,47,40,56,38
2023/9/9,39,40,72,51
2023/9/10,59,68,72,71
2023/9/11,45,51,55,40
2023/9/12,48,55,46,43
2023/9/13,50,41,46,39
2023/9/14,48,36,64,48
2023/9/15,46,41,62,49
2023/9/16,56,53,79,62
2023/9/17,61,56,78,47
2023/9/18,60,60,88,62
2023/9/19,56,48,55,53
2023/9/20,52,68,70,54
2023/9/21,47,45,58,47
2023/9/22,49,36,61,46
2023/9/23,68,52,75,55
2023/9/24,65,61,84,59
2023/9/25,56,39,61,64
2023/9/26,51,51,67,42
2023/9/27,41,44,51,37
2023/9/28,44,40,63,51
2023/9/29,37,35,47,40
2023/9/30,44,59,61,57
2023/10/1,71,60,79,59
2023/10/2,45,49,55,37
2023/10/3,36,44,51,43
2023/10/4,53,37,52,37
2023/10/5,47,52,56,48
2023/10/6,54,29,57,37
2023/10/7,48,42,59,64
2023/10/8,70,62,58,51
2023/10/9,49,55,57,63
2023/10/10,51,53,50,37
2023/10/11,49,43,81,41
2023/10/12,64,57,59,48
2023/10/13,38,41,74,44
2023/10/14,67,96,75,67
2023/10/15,63,83,86,71
2023/10/16,53,32,65,51
2023/10/17,40,47,47,45
2023/10/18,50,59,57,38
2023/10/19,46,27,52,28
2023/10/20,41,39,53,45
2023/10/21,40,42,63,59
2023/10/22,63,62,82,52
2023/10/23,58,48,61,60
2023/10/24,51,39,48,48
2023/10/25,46,41,44,45
2023/10/26,72,31,78,58
2023/10/27,48,47,56,39
2023/10/28,60,65,69,61
2023/10/29,57,53,75,56
2023/10/30,47,31,47,30
2023/10/31,48,54,32,47
2023/11/1,47,49,45,53
2023/11/2,49,30,42,18
2023/11/3,52,54,62,52
2023/11/4,54,55,75,53
2023/11/5,64,56,72,53
2023/11/6,57,43,87,62
2023/11/7,32,37,40,44
2023/11/8,50,44,57,40
2023/11/9,65,40,43,42
2023/11/10,50,41,65,42
2023/11/11,61,61,54,57
2023/11/12,77,53,81,53
2023/11/13,47,43,64,49
2023/11/14,73,53,61,54
2023/11/15,46,46,59,38
2023/11/16,47,36,52,49
2023/11/17,46,29,52,29
2023/11/18,70,62,71,56
2023/11/19,79,57,97,59
2023/11/20,61,41,66,58
2023/11/21,61,60,60,51
2023/11/22,51,59,67,50
2023/11/23,59,81,65,77
2023/11/24,54,73,76,64
2023/11/25,69,100,68,64
2023/11/26,74,64,77,67
2023/11/27,58,29,76,62
2023/11/28,55,64,68,51
2023/11/29,49,31,54,65
2023/11/30,53,48,54,32
2023/12/1,37,74,52,53
2023/12/2,72,59,91,64
2023/12/3,68,72,82,70
2023/12/4,52,57,71,42
2023/12/5,42,44,66,47
2023/12/6,60,59,73,54
2023/12/7,40,37,53,38
2023/12/8,51,37,50,46
2023/12/9,73,66,94,65
2023/12/10,69,74,86,53
2023/12/11,62,49,72,45
2023/12/12,66,44,72,40
2023/12/13,48,47,51,49
2023/12/14,57,40,58,54
2023/12/15,40,46,43,47
2023/12/16,61,71,78,63
2023/12/17,77,58,82,71
2023/12/18,43,47,58,76
2023/12/19,42,56,48,41
2023/12/20,48,45,51,44
2023/12/21,44,30,50,43
2023/12/22,37,43,54,52
2023/12/23,57,39,75,51
2023/12/24,48,49,64,51
2023/12/25,68,42,51,45
2023/12/26,66,32,65,45
2023/12/27,61,37,49,42
2023/12/28,44,39,58,38
2023/12/29,55,70,51,41
2023/12/30,57,39,76,45
2023/12/31,36,33,74,34
2024/1/1,48,29,86,48
2024/1/2,58,51,92,49
2024/1/3,85,75,88,52
2024/1/4,65,67,84,46
2024/1/5,52,41,64,53
2024/1/6,63,68,80,59
2024/1/7,74,53,71,85
2024/1/8,80,62,43,60
2024/1/9,51,54,58,49
2024/1/10,54,56,58,45
2024/1/11,63,38,51,41
2024/1/12,58,39,55,51
2024/1/13,77,43,70,70
2024/1/14,84,61,53,66
2024/1/15,71,55,57,59
2024/1/16,73,38,54,47
2024/1/17,65,44,68,49
2024/1/18,60,49,52,40
2024/1/19,63,51,55,52
2024/1/20,92,49,79,69
2024/1/21,84,79,89,84
2024/1/22,80,50,63,63
2024/1/23,81,61,46,58
2024/1/24,70,50,50,51
2024/1/25,56,37,55,46
2024/1/26,55,42,58,65
2024/1/27,94,80,99,93
2024/1/28,100,77,92,65
2024/1/29,66,53,51,57
2024/1/30,57,39,51,36
2024/1/31,68,31,52,49
2024/2/1,59,44,61,69
2024/2/2,63,41,52,65
2024/2/3,67,77,74,74
2024/2/4,82,61,92,100
2024/2/5,53,26,53,61
2024/2/6,57,44,66,58
2024/2/7,68,42,50,45
2024/2/8,60,32,54,51
2024/2/9,45,39,51,72
2024/2/10,59,52,69,76
2024/2/11,91,53,96,82
2024/2/12,93,72,69,70
2024/2/13,61,43,56,58
2024/2/14,59,57,55,39
2024/2/15,72,45,53,43
2024/2/16,53,49,51,45
2024/2/17,51,47,74,70
2024/2/18,81,46,78,91
2024/2/19,60,49,61,51
2024/2/20,58,61,61,53
2024/2/21,75,53,49,67
2024/2/22,60,27,60,55
2024/2/23,69,42,98,82
2024/2/24,86,58,54,95
2024/2/25,86,63,79,85
2024/2/26,61,46,63,59
2024/2/27,57,57,54,62
2024/2/28,78,55,71,63
2024/2/29,70,65,75,58
2024/3/1,51,28,48,57
2024/3/2,88,78,83,99
2024/3/3,85,61,100,77
2024/3/4,63,52,64,57
2024/3/5,84,51,78,75
2024/3/6,85,40,46,79
2024/3/7,65,0,65,56
2024/3/8,65,44,46,55
2024/3/9,73,60,92,88
2024/3/10,95,81,88,87
2024/3/11,64,45,62,60
2024/3/12,61,36,52,48
2024/3/13,61,43,61,69
2024/3/14,68,40,53,54
2024/3/15,34,43,57,70
2024/3/16,74,42,66,68
2024/3/17,84,37,81,75
2024/3/18,61,41,58,63
2024/3/19,56,39,54,54
2024/3/20,80,70,82,80
2024/3/21,64,45,64,53
2024/3/22,60,47,57,52
2024/3/23,90,53,96,80
2024/3/24,88,54,96,80
2024/3/25,67,54,63,83
2024/3/26,62,41,43,53
2024/3/27,53,46,62,43
2024/3/28,61,52,57,67
2024/3/29,54,57,71,76
2024/3/30,81,45,59,87
2024/3/31,72,61,86,87
2024/4/1,83,49,75,57
2024/4/2,65,45,54,46
2024/4/3,48,45,27,50
2024/4/4,54,48,51,45
2024/4/5,49,54,43,41
2024/4/6,94,36,80,71
2024/4/7,72,70,53,78
2024/4/8,77,43,53,50
2024/4/9,64,48,53,58
2024/4/10,58,49,57,58
2024/4/11,43,44,66,43
2024/4/12,43,41,43,47
2024/4/13,84,75,55,61
2024/4/14,82,46,85,86
2024/4/15,61,56,48,47
2024/4/16,56,33,47,51
2024/4/17,61,44,56,43
2024/4/18,29,45,35,44
2024/4/19,49,50,39,71
2024/4/20,74,71,76,80
2024/4/21,70,81,66,75
2024/4/22,63,45,62,68
2024/4/23,41,34,58,55
2024/4/24,36,49,38,37
2024/4/25,47,29,53,49
2024/4/26,50,36,47,46
2024/4/27,62,51,71,56
2024/4/28,55,34,58,63
2024/4/29,63,31,67,85
2024/4/30,63,55,66,46
2024/5/1,42,53,42,58
2024/5/2,35,51,35,57
2024/5/3,50,47,50,51
2024/5/4,56,52,56,65
2024/5/5,76,52,76,65
2024/5/6,47,67,47,58
2024/5/7,41,54,41,40
2024/5/8,27,43,27,37
2024/5/9,31,58,31,35
2024/5/10,35,68,35,38
2024/5/11,82,71,82,57
2024/5/12,55,82,55,46
2024/5/13,44,60,44,58
2024/5/14,50,76,50,43
2024/5/15,40,34,40,41
2024/5/16,39,55,39,46
2024/5/17,25,33,25,33
2024/5/18,66,74,66,57
2024/5/19,60,49,60,73
2024/5/20,50,61,50,43
2024/5/21,38,60,38,55
2024/5/22,49,49,49,33
2024/5/23,46,0,46,49
2024/5/24,58,41,58,50
2024/5/25,57,33,57,53
2024/5/26,79,60,79,87
2024/5/27,37,56,37,43
2024/5/28,39,61,39,42
2024/5/29,39,42,39,38
2024/5/30,34,0,34,37
2024/5/31,44,53,44,47
2024/6/1,53,94,53,48
2024/6/2,64,63,64,87
2024/6/3,63,55,63,39
2024/6/4,41,51,41,47
2024/6/5,32,71,32,45
2024/6/6,43,30,43,34
2024/6/7,45,83,45,46
2024/6/8,66,49,66,62
2024/6/9,81,60,81,70
2024/6/10,46,57,46,42
2024/6/11,57,57,57,34
2024/6/12,47,44,47,39
2024/6/13,30,53,30,30
2024/6/14,41,43,41,44
2024/6/15,47,53,47,47
2024/6/16,59,53,59,83
2024/6/17,38,53,38,61
2024/6/18,48,53,48,50
