date,f_cap,f_aut,f_pri,f_siz
2025/7/16,54,59,41,48
2025/7/17,23,51,44,53
2025/7/18,50,72,40,47
2025/7/19,54,53,62,81
2025/7/20,54,69,77,63
2025/7/21,73,58,53,66
2025/7/22,68,36,37,51
2025/7/23,45,36,35,43
2025/7/24,44,44,45,57
2025/7/25,29,53,35,60
2025/7/26,77,68,66,67
2025/7/27,74,59,91,65
2025/7/28,60,43,63,50
2025/7/29,61,60,56,50
2025/7/30,48,36,25,42
2025/7/31,41,56,41,33
2025/8/1,60,49,53,62
2025/8/2,80,71,66,73
2025/8/3,82,50,55,84
2025/8/4,49,41,42,59
2025/8/5,41,56,31,65
2025/8/6,47,47,49,48
2025/8/7,41,69,55,46
2025/8/8,46,57,46,45
2025/8/9,56,55,42,48
2025/8/10,50,62,58,57
2025/8/11,71,44,75,68
2025/8/12,44,51,54,56
2025/8/13,49,25,40,33
2025/8/14,55,42,50,51
2025/8/15,46,39,53,42
2025/8/16,55,69,54,58
2025/8/17,72,61,51,72
2025/8/18,63,55,30,45
2025/8/19,47,38,63,53
2025/8/20,60,48,32,51
2025/8/21,56,55,49,54
2025/8/22,47,33,38,52
2025/8/23,48,56,59,72
2025/8/24,79,80,55,60
2025/8/25,56,39,60,62
2025/8/26,52,44,53,50
2025/8/27,44,60,40,44
2025/8/28,33,54,52,72
2025/8/29,51,43,52,52
2025/8/30,62,70,75,54
2025/8/31,95,65,54,76
2025/9/1,55,28,45,64
2025/9/2,49,59,42,52
2025/9/3,54,59,42,52
2025/9/4,68,44,49,45
2025/9/5,47,44,38,56
2025/9/6,57,80,54,84
2025/9/7,71,88,81,68
2025/9/8,68,55,39,62
2025/9/9,36,56,45,57
2025/9/10,50,60,46,50
2025/9/11,41,28,44,39
2025/9/12,40,49,47,47
2025/9/13,65,62,55,74
2025/9/14,84,62,46,75
2025/9/15,63,66,69,76
2025/9/16,69,67,60,48
2025/9/17,47,55,35,46
2025/9/18,53,61,41,44
2025/9/19,51,37,43,45
2025/9/20,73,55,55,77
2025/9/21,76,59,63,76
2025/9/22,62,48,30,57
2025/9/23,62,53,54,81
2025/9/24,67,37,39,61
2025/9/25,44,45,34,41
2025/9/26,45,32,38,59
2025/9/27,63,72,33,74
2025/9/28,57,68,57,74
2025/9/29,44,54,42,58
2025/9/30,55,33,43,69
2025/10/1,45,48,38,41
2025/10/2,56,37,48,36
2025/10/3,48,25,27,52
2025/10/4,61,60,51,65
2025/10/5,69,68,62,86
2025/10/6,43,59,30,53
2025/10/7,68,59,53,53
2025/10/8,49,49,51,46
2025/10/9,50,58,30,54
2025/10/10,53,51,47,33
2025/10/11,81,62,38,60
2025/10/12,69,42,60,76
2025/10/13,65,65,52,64
2025/10/14,58,53,28,40
2025/10/15,57,39,35,45
2025/10/16,50,51,42,56
2025/10/17,44,43,36,54
2025/10/18,59,56,68,59
2025/10/19,61,61,68,74
2025/10/20,60,49,31,52
2025/10/21,45,47,45,41
2025/10/22,72,37,49,42
2025/10/23,55,42,43,56
2025/10/24,54,62,32,48
2025/10/25,81,47,30,78
2025/10/26,71,76,53,52
2025/10/27,78,49,44,61
2025/10/28,54,57,35,47
2025/10/29,40,38,35,42
2025/10/30,48,42,56,72
2025/10/31,33,54,29,47
2025/11/1,41,65,60,66
2025/11/2,88,64,65,69
2025/11/3,77,58,56,84
2025/11/4,54,48,42,49
2025/11/5,46,45,40,57
2025/11/6,31,52,34,62
2025/11/7,76,41,41,44
2025/11/8,78,40,42,70
2025/11/9,71,52,71,65
2025/11/10,61,54,35,53
2025/11/11,38,55,38,54
2025/11/12,57,48,50,55
2025/11/13,53,43,35,39
2025/11/14,47,55,51,54
2025/11/15,81,57,50,71
2025/11/16,80,80,56,71
2025/11/17,44,33,67,53
2025/11/18,70,44,54,54
2025/11/19,64,60,51,54
2025/11/20,60,41,29,69
2025/11/21,54,38,44,71
2025/11/22,65,51,67,100
2025/11/23,89,68,69,67
2025/11/24,82,93,96,58
2025/11/25,65,70,61,74
2025/11/26,75,60,45,59
2025/11/27,54,55,52,55
2025/11/28,48,57,44,58
2025/11/29,69,70,55,79
2025/11/30,85,100,79,78
2025/12/1,58,50,57,61
2025/12/2,53,36,37,62
2025/12/3,68,44,54,61
2025/12/4,53,51,59,65
2025/12/5,51,41,50,61
2025/12/6,100,65,100,94
2025/12/7,69,65,72,98
2025/12/8,61,61,60,84
2025/12/9,41,50,45,34
2025/12/10,58,56,56,49
2025/12/11,64,32,56,53
2025/12/12,49,52,49,50
2025/12/13,80,58,75,82
2025/12/14,69,55,66,89
2025/12/15,67,60,52,43
2025/12/16,47,31,72,58
2025/12/17,64,51,52,62
2025/12/18,49,37,51,65
2025/12/19,52,44,55,40
2025/12/20,68,58,66,82
2025/12/21,68,60,88,69
2025/12/22,62,32,61,53
2025/12/23,43,45,49,60
2025/12/24,45,48,57,36
2025/12/25,75,62,45,60
2025/12/26,49,45,47,46
2025/12/27,58,59,59,79
2025/12/28,77,51,61,67
2025/12/29,54,70,62,43
2025/12/30,61,54,54,63
2025/12/31,46,43,52,36
