date,解像度,サイズ,価格,ズーム性能,week,カテゴリ
2023/5/13,70,79,89,68,2025/7/13,62
2023/5/14,70,71,87,74,2025/7/20,64
2023/5/15,81,69,76,63,2025/7/27,60
2023/5/16,84,79,69,74,2025/8/3,67
2023/5/17,97,35,70,67,2025/8/10,64
2023/5/18,69,65,61,71,2025/8/17,72
2023/5/19,65,58,60,58,2025/8/24,70
2023/5/20,51,75,67,83,2025/8/31,71
2023/5/21,80,70,50,82,2025/9/7,72
2023/5/22,73,69,59,72,2025/9/14,69
2023/5/23,82,66,57,69,2025/9/21,69
2023/5/24,77,81,67,80,2025/9/28,70
2023/5/25,70,64,70,69,2025/10/5,71
2023/5/26,75,73,65,59,2025/10/12,73
2023/5/27,71,68,85,100,2025/10/19,65
2023/5/28,72,76,70,85,2025/10/26,64
2023/5/29,71,69,66,76,2025/11/2,65
2023/5/30,71,63,56,72,2025/11/9,64
2023/5/31,67,59,64,64,2025/11/16,65
2023/6/1,76,59,60,61,2025/11/23,70
2023/6/2,66,69,59,59,2025/11/30,68
2023/6/3,59,58,64,82,2025/12/7,71
2023/6/4,54,74,66,75,2025/12/14,69
2023/6/5,57,70,71,70,2025/12/21,66
2023/6/6,67,60,57,75,2025/12/28,68
2023/6/7,70,65,64,60,,
2023/6/8,73,65,58,58,,
2023/6/9,64,76,62,56,,
2023/6/10,66,84,61,68,,
2023/6/11,70,76,75,64,,
2023/6/12,79,82,67,54,,
2023/6/13,88,77,72,77,,
2023/6/14,78,90,57,74,,
2023/6/15,95,82,63,43,,
2023/6/16,61,73,57,64,,
2023/6/17,63,74,57,49,,
2023/6/18,54,82,65,64,,
2023/6/19,79,74,60,72,,
2023/6/20,75,57,61,57,,
2023/6/21,74,71,70,64,,
2023/6/22,88,80,77,66,,
2023/6/23,68,62,71,52,,
2023/6/24,67,80,62,65,,
2023/6/25,66,68,64,77,,
2023/6/26,65,61,63,74,,
2023/6/27,79,57,55,52,,
2023/6/28,74,63,54,47,,
2023/6/29,72,54,61,58,,
2023/6/30,77,65,53,44,,
2023/7/1,67,55,68,57,,
2023/7/2,57,67,59,57,,
2023/7/3,71,78,68,60,,
2023/7/4,84,65,57,75,,
2023/7/5,90,60,63,53,,
2023/7/6,73,87,62,58,,
2023/7/7,69,29,54,55,,
2023/7/8,74,72,65,63,,
2023/7/9,61,76,58,65,,
2023/7/10,72,63,52,64,,
2023/7/11,67,67,67,60,,
2023/7/12,85,80,71,65,,
2023/7/13,84,61,77,76,,
2023/7/14,69,55,57,62,,
2023/7/15,51,65,49,75,,
2023/7/16,64,75,68,89,,
2023/7/17,56,59,56,65,,
2023/7/18,85,69,55,63,,
2023/7/19,70,55,57,71,,
2023/7/20,72,63,59,59,,
2023/7/21,73,67,58,46,,
2023/7/22,63,54,72,52,,
2023/7/23,77,58,62,57,,
2023/7/24,74,64,59,63,,
2023/7/25,73,73,62,48,,
2023/7/26,81,69,62,56,,
2023/7/27,69,44,54,51,,
2023/7/28,54,58,47,54,,
2023/7/29,74,50,54,59,,
2023/7/30,60,73,66,69,,
2023/7/31,79,53,52,61,,
2023/8/1,72,66,69,59,,
2023/8/2,61,57,55,60,,
2023/8/3,84,58,65,74,,
2023/8/4,89,59,57,51,,
2023/8/5,58,53,62,57,,
2023/8/6,73,63,65,51,,
2023/8/7,75,54,61,66,,
2023/8/8,83,61,57,68,,
2023/8/9,70,59,59,50,,
2023/8/10,70,66,64,51,,
2023/8/11,77,56,59,57,,
2023/8/12,70,64,60,62,,
2023/8/13,66,35,58,46,,
2023/8/14,52,76,63,49,,
2023/8/15,61,61,55,73,,
2023/8/16,83,75,57,55,,
2023/8/17,73,60,53,56,,
2023/8/18,66,94,48,57,,
2023/8/19,64,68,52,85,,
2023/8/20,75,66,58,66,,
2023/8/21,58,54,58,69,,
2023/8/22,67,61,58,61,,
2023/8/23,74,50,57,52,,
2023/8/24,78,69,60,52,,
2023/8/25,84,67,57,63,,
2023/8/26,72,60,44,66,,
2023/8/27,56,84,56,54,,
2023/8/28,78,68,43,66,,
2023/8/29,71,89,59,61,,
2023/8/30,94,88,64,75,,
2023/8/31,81,61,75,90,,
2023/9/1,56,62,72,42,,
2023/9/2,54,57,68,41,,
2023/9/3,53,66,56,43,,
2023/9/4,46,66,82,41,,
2023/9/5,43,58,65,40,,
2023/9/6,53,63,64,33,,
2023/9/7,48,74,63,37,,
2023/9/8,50,64,64,34,,
2023/9/9,58,77,77,46,,
2023/9/10,47,52,78,52,,
2023/9/11,54,64,68,43,,
2023/9/12,83,59,80,64,,
2023/9/13,100,84,95,100,,
2023/9/14,75,75,88,75,,
2023/9/15,70,82,92,60,,
2023/9/16,57,92,86,58,,
2023/9/17,59,72,83,68,,
2023/9/18,49,93,85,64,,
2023/9/19,69,69,70,40,,
2023/9/20,75,72,97,42,,
2023/9/21,78,74,100,47,,
2023/9/22,67,70,100,52,,
2023/9/23,72,60,80,63,,
2023/9/24,68,55,90,82,,
2023/9/25,63,74,78,70,,
