asin,week_start_date,weekly_salesrank,解像度,サイズ,価格,ズーム性能,カテゴリ
B00XXCOJLS,2025/1/5,21705,16,20,24,26,79
B00XXCOJLS,2025/1/12,81601,15,19,23,28,83
B00XXCOJLS,2025/1/19,31306,15,18,22,27,81
B00XXCOJLS,2025/1/26,20814,15,18,21,26,82
B00XXCOJLS,2025/2/2,28991,15,17,24,26,83
B00XXCOJLS,2025/2/9,27083,16,19,25,27,81
B00XXCOJLS,2025/2/16,28501,15,21,26,30,87
B00XXCOJLS,2025/2/23,31218,16,22,26,27,91
B00XXCOJLS,2025/3/2,26840,17,18,25,28,89
B00XXCOJLS,2025/3/9,26969,16,19,23,26,89
B00XXCOJLS,2025/3/16,152290,18,21,27,29,89
B00XXCOJLS,2025/3/23,27342,16,20,26,27,86
B00XXCOJLS,2025/3/30,42265,15,19,25,25,84
B00XXCOJLS,2025/4/6,38436,16,21,22,28,87
B00XXCOJLS,2025/4/13,175464,18,17,24,26,83
B00XXCOJLS,2025/4/20,49462,15,16,23,24,83
B00XXCOJLS,2025/4/27,39420,17,22,25,23,90
B00XXCOJLS,2025/5/4,22884,16,21,23,25,91
B00XXCOJLS,2025/5/11,41025,17,20,25,27,86
B00XXCOJLS,2025/5/18,76861,17,18,24,25,85
B00XXCOJLS,2025/5/25,71006,18,18,24,24,89
B00XXCOJLS,2025/6/1,78500,15,18,22,26,81
B00XXCOJLS,2025/6/8,85918,16,17,22,26,79
B00XXCOJLS,2025/6/15,78064,15,16,20,26,76
B00XXCOJLS,2025/6/22,172695,15,16,22,24,72
B00XXCOJLS,2025/6/29,232467,16,15,20,24,74
B00XXCOJLS,2025/7/6,91994,15,16,22,24,73
B00XXCOJLS,2025/7/13,51885,16,16,21,24,72
B00XXCOJLS,2025/7/20,63785,15,15,22,24,76
B00XXCOJLS,2025/7/27,114386,14,14,20,24,71
B00XXCOJLS,2025/8/3,246226,16,15,20,23,79
B00XXCOJLS,2025/8/10,276823,17,15,21,22,76
B00XXCOJLS,2025/8/17,95128,17,17,24,24,85
B00XXCOJLS,2025/8/24,238625,17,17,21,24,83
B00XXCOJLS,2025/8/31,302567,17,18,21,24,84
B00XXCOJLS,2025/9/7,101691,17,29,29,30,85
B00XXCOJLS,2025/9/14,29695,16,27,27,26,81
B00XXCOJLS,2025/9/21,21469,16,22,24,25,81
B00XXCOJLS,2025/9/28,29341,16,22,24,27,83
B00XXCOJLS,2025/10/5,23031,16,23,23,27,82
B00XXCOJLS,2025/10/12,23040,16,21,22,24,86
B00XXCOJLS,2025/10/19,20196,15,21,24,25,77
B00XXCOJLS,2025/10/26,18565,15,18,22,25,75
B00XXCOJLS,2025/11/2,21174,14,20,22,26,77
B00XXCOJLS,2025/11/9,19699,14,19,23,25,75
B00XXCOJLS,2025/11/16,20558,15,18,23,26,76
B00XXCOJLS,2025/11/23,19720,16,21,24,25,83
B00XXCOJLS,2025/11/30,21645,16,17,23,26,79
B00XXCOJLS,2025/12/7,20412,17,17,23,24,83
B00XXCOJLS,2025/12/14,14957,16,16,23,25,81
B00XXCOJLS,2025/12/21,13158,14,15,21,22,84
B00XXCOJLS,2025/12/28,17081,15,18,23,21,81
